wono	ComponentName	UnitDescription	Age	LastActivity	ActualLabHour	TargetLabour	
6637279	Brake	Cat 14M	83	Waiting Part	16	34	
6640900	Engine	Sykes XH150	58	Waiting Completion	384		
6642512	Final Drive	Cat 777D	79	Waiting Part	19	27	
6642761	Final Drive	Cat 740	79	Waiting Part	29	66	
6644303	Engine	Sykes XH150	78	Waiting Part	144		
6644309	Fan Pulley Brgs	Sykes XH150	78	Waiting Part	7		
6644317	Injection Pump	Sykes XH150	78	Waiting Part	25		
6644328	Engine	Cat D10T	78	Waiting Part	278.5	581.41	
6652867	Torque Convertor	Cat 777E	72	Waiting Painting	69.5		
6652879	Convertor Scav Pump	Cat 777E	72	Waiting Part	10		
6652745	Steering Clutch/Brk	Cat D8R	71	Waiting Part	11	38	
6652764	Wheel Bearing	Cat 785C	71	Waiting Completion	50	47	
6652792	Wheel Bearing	Cat 777D	71	Testing	36	41	
6653731	Wheel Bearing	Cat 777D	71	Waiting Painting	20	21	
6655116	Wheel Bearing	Cat 777D	70	Waiting Part	31.5		
6655119	Bevel Gear	Cat 16M	70	Waiting Part	31	75	
6655121	Final Drive	Cat 16M	70	Waiting Part	21.5	42	
6655128	Final Drive	Cat 16M	70	Waiting Stand	37	42	
6655228	Final Drive	Cat 785C	70	Waiting Completion	88.5		
6655400	Brake	Cat 16M	70	Waiting Part	25		
6655411	Brake	Cat 16M	70	Testing	30	33	
6655416	Brake	Cat 16M	70	Waiting Part	18	33	
6655801	Wheel Bearing	Cat 777D	70	Waiting Completion	21	21	
6655816	Final Drive	Cat 777D	70	Waiting Completion	38.5	39	
6657208	Final Drive	Cat 777D	69	Painted	38.5	39	
6657211	Final Drive	Cat 777E	69	Waiting Part	15		
6657215	Final Drive	Cat 777D	69	Waiting Completion	63	54	
6657222	Final Drive	Cat 777E	69	Painted	27.5		
6657231	Final Drive	Cat 777D	69	Waiting Completion	39	39	
6657232	Final Drive	Cat 777D	69	Waiting Part	17	27	
6657240	Transmission	Cat 740B	69	Waiting Part	88	161	
6657244	Torque Convertor	Cat 740B	69	Waiting Testing	52.5	66	
6657247	Transmission Pump	Cat 740B	69	Waiting Testing	14		
6657368	Steering Clutch/Brk	Cat D8R	69	Waiting Part	12	38	
6660265	Transmission	Cat D8R	66	Inspection	64.5		
6660273	Final Drive	Cat 777D	66	Waiting Part	36	54	
6660282	Final Drive	Cat 777D	66	Assembly	28	39	
6660296	Bevel Gear	Cat 777D	66	Painted	69.5		
6660299	Transmission	Cat 777D	66	Waiting Execution			
6662332	Engine	Cat D8R	65	Waiting Part	180		
6662328	Engine	Cat D10T	65	Painted	587		
6664430	Bevel Gear	Cat 14M	63	Assembly	49	73	
6664468	Final Drive	Cat 777D	63	Waiting Part	18	39	
6664469	Final Drive	Cat 777D	63	Waiting Part	17	27	
6664477	Final Drive	Cat 773E	63	Testing	97.5	96	
6665019	Transmission	Cat 777D	63	Testing	171.5		
6665085	Wheel Bearing	Cat 773E	63	Waiting Execution			
6665112	Transmission	Cat 777D	63	Testing	158.5	160	
6666271	Bevel Gear	Cat 980H	62	Assembly	46.5		
6666276	Final Drive	Cat 980H	62	Waiting Stand	47.5		
6666278	Final Drive	Cat 980H	62	Waiting Stand	54.5		
6655810	Final Drive	Cat 777D	59	Waiting Part	32	54	
6671839	Final Drive	Cat 988G	58	Testing	53		
6675946	Bevel Gear	Cat 988G	55	Waiting Part	67.5		
6675950	Final Drive	Cat 988G	55	Waiting Testing	43		
6676162	Circle Drive Box	Cat 16M	55	Waiting Part	15	34	
6676169	Transmission	Cat D8R	55	Waiting Painting	123	125	
6676200	Final Drive	Cat 785C	55	Waiting Completion	79.5	69	
6676202	Final Drive	Cat 785C	55	Waiting Completion	48.5	48	
6676206	Final Drive	Cat 785C	55	Waiting Completion	80.5	69	
6676207	Final Drive	Cat 785C	55	Waiting Painting	44.5	48	
6676210	Bevel Gear	Cat 745	55	Waiting Part	23	58	
6676212	Transmission	Cat 785C	55	Waiting Part	93.5	179	
6676176	Wheel Bearing	Cat 785C	55	Waiting Completion	35	35	
6676188	Wheel Bearing	Cat 785C	55	Waiting Painting	45	47	
6676193	Wheel Bearing	Cat 785C	55	Assembly	24	35	
6676196	Transmission	Cat 777D	55	Waiting Part	86	160	
6680810	Transmission	Cat D10T	51	Waiting Part	91		
6680854	Circle Drive Box	Cat 18M3	51	Waiting Completion	31.5	35	
6680857	Final Drive	Cat 777D	51	Waiting Part	32.5	54	
6680860	Final Drive	Cat 777D	51	Waiting Part	17.5	39	
6680864	Bevel Gear	Cat 777D	51	Waiting Stand	38	45	
6680865	Bevel Gear	Cat 777D	51	Waiting Painting	19	21	
6680878	Final Drive	Cat 777D	51	Waiting Completion	61.5	54	
6680881	Final Drive	Cat 777D	51	Waiting Part	18	39	
6680884	Final Drive	Cat 777D	51	Waiting Completion	26	27	
6680919	Final Drive	Cat D8R	51	Waiting Part	33	60	
6680930	Final Drive	Cat D10T	51	Waiting Part	32	61	
6681108	Fuel Pump	Cat 777D	51	Waiting Execution			
6682237	Transfer Case	Cat 740	50	Waiting Execution		119	
6683464	Torque Convertor	Cat 785C	49	Waiting Testing	53	68	
6683472	Convertor Scav Pump	Cat 785C	49	Waiting Part	8.5	22	
6683476	Final Drive	Liebherr R9350	49	Waiting Part	151	220	
6683479	Final Drive	Cat 785C	49	Waiting Part	43	69	
6683482	Final Drive	Cat 785C	49	Waiting Completion	48	48	
6683486	Final Drive	Cat 785C	49	Waiting Completion	36	37	
6655822	Final Drive	Cat 777D	49	Waiting Part	17	39	
6655825	Final Drive	Cat 777D	49	Waiting Part	18	27	
6684800	Wheel Bearing	Cat 777D	48	Waiting Completion	49	41	
6684804	Wheel Bearing	Cat 777D	48	Waiting Part	10	21	
6684808	Brake	Cat 18M3	48	Waiting Part	16	34	
6684809	Brake	Cat 18M3	48	Waiting Stand	33	34	
6684827	Brake	Cat 18M3	48	Waiting Part	16	34	
6684829	Brake	Cat 18M3	48	Waiting Part	17	34	
6684833	Transmission	Cat 18M3	48	Waiting Part	85.5	151	
6684839	Transmission Pump	Cat 18M3	48	Waiting Part	10	23	
6688117	Transmission	Cat D9R	45	Waiting Part	64.5	146	
6688182	Final Drive	Cat D10R	45	Waiting Execution			
6688674	Fan Pulley Brgs	CAT C18 635kVA	45	Waiting Part	3		
6691969	Circle Drive Box	Cat 16M	43	Waiting Part	14.5	34	
6691981	Engine	Cat C18 591kVA	43	Inspection	158.5		
6691984	Fan Pulley Brgs	CAT C18 635kVA	43	Waiting Execution			
6692536	Pump Drive Box	Cat 785C	42	Waiting Part	8	19	
6692554	Final Drive	Cat 785C	42	Inspection	30	69	
6692570	Final Drive	Cat D10T	42	Waiting Part	32	61	
6692610	Bevel Gear	Cat 785C	42	Waiting Part	36.5	79.5	
6693389	Engine	Cat D9R	42	Waiting Part	207.5	437.01	
6693392	Fan Pulley Brgs	Cat D9R	42	Waiting Execution		11	
6693396	Injection Pump	Cat D9R	42	Waiting Execution			
6694202	Steering Clutch/Brk	Cat D10T	41	Waiting Part	20.5		
